cd_setor;nm_dist;qt_pessoas;area_km2;qt_crimes;tx_crimes_1000_hab;log_tx_crimes_1000_hab;indice_infraestrutura_urbana;indice_mobilidade_urbana;indice_caminhabilidade;indice_vulnerabilidade_urbana;log_renda_media;densidade_populacional
355030801000004;Água Rasa;526;0.064905;31;58.93536121673004;4.093266668448778;0.7918552036199095;0.36199095022624433;0.4253393665158371;0.114614461169083;8.038718584534573;8104.152222479007
355030801000032;Água Rasa;594;0.0887852;50;84.17508417508418;4.444708951806996;0.6166666666666667;0.0;0.62;0.22249275362318838;8.290475761398701;6690.304239895839
355030801000043;Água Rasa;639;0.0430324;13;20.34428794992175;3.06078416054934;0.6348039215686274;0.0;0.6213235294117647;0.07705882352941178;7.925222586029267;14849.27635920841
355030801000074;Água Rasa;665;0.0672285;24;36.090225563909776;3.6133534730119847;0.7530612244897958;0.05102040816326531;0.5306122448979592;0.05218829137494413;8.34324448428222;9891.638218910135
355030801000075;Água Rasa;692;0.0621027;20;28.90173410404624;3.397916475505736;0.686936936936937;0.08783783783783784;0.6666666666666666;0.11442006269592478;8.328965427266965;11142.832759284218
355030801000077;Água Rasa;540;0.004376;2;3.7037037037037037;1.5483502204542623;0.6666666666666666;0.5;0.6666666666666666;0.20370370370370372;9.312063580645923;123400.36563071299
355030801000105;Água Rasa;440;0.0904667;72;163.63636363636363;5.103739185085042;0.9686468646864687;0.4752475247524753;0.9405940594059405;0.03070539419087137;9.439605945412989;4863.668067918914
355030801000118;Água Rasa;409;0.0188594;31;75.79462102689487;4.341134598988495;0.849250936329588;0.199438202247191;0.7827715355805243;0.062020131086142315;8.904232244317956;21686.798095379494
355030801000169;Água Rasa;376;0.0033751;2;5.319148936170213;1.843584537092641;0.8333333333333334;0.5;0.3333333333333333;0.024880382775119617;8.959069942727306;111404.10654499127
355030801000173;Água Rasa;413;0.0275444;11;26.634382566585955;3.3190607425925673;0.7802547770700636;0.022292993630573247;0.5074309978768577;0.07202760084925691;9.115666989373475;14993.97336663714
355030802000015;Alto de Pinheiros;379;0.191625;21;55.40897097625329;4.032628205717981;0.8486005089058525;0.10687022900763359;0.8015267175572519;0.09642027405054288;9.668771042119285;1977.8212654924985
355030802000038;Alto de Pinheiros;354;0.1868859;14;39.54802259887006;3.702487014856243;0.8888888888888888;0.050724637681159424;0.5120772946859904;0.027732585320243107;9.345972930604532;1894.2038966021514
355030802000082;Alto de Pinheiros;246;0.1198062;8;32.520325203252035;3.5121519773344825;0.8524904214559387;0.27011494252873564;0.4636015325670499;0.06230354210649778;9.737367440675456;2053.316105510399
355030802000095;Alto de Pinheiros;239;0.0095781;3;12.552301255230125;2.6065563672398184;0.6682242990654205;0.4205607476635514;0.5295950155763239;0.23309352517985613;9.716449892388464;24952.7568098057
355030802000153;Alto de Pinheiros;159;0.0020279;0;0.0;0.0;1.0;0.0;1.0;0.004301075268817204;9.546558290547015;78406.23304896691
355030802000168;Alto de Pinheiros;303;0.0211353;10;33.003300330033;3.5264575884356986;1.0;0.16666666666666666;0.6666666666666666;0.0;10.017570863755648;14336.20530581539
355030802000172;Alto de Pinheiros;209;0.0140067;4;19.138755980861244;3.0026461168057597;0.6666666666666666;0.5;0.6666666666666666;0.2136986301369863;10.238018620593866;14921.43045828068
355030803000023;Anhanguera;557;0.0308563;12;21.54398563734291;3.11546831806168;0.752818035426731;0.08695652173913043;0.32367149758454106;0.06866402374298651;8.15782319050034;18051.418997092976
355030803000066;Anhanguera;445;0.0928538;11;24.719101123595507;3.247233950220427;;;;;7.649764049732044;4792.48022159567
355030803000149;Anhanguera;480;0.0521343;12;25.0;3.258096538021482;0.7367424242424243;0.13352272727272727;0.34848484848484845;0.13446579194001876;8.47324339374903;9206.990407466868
355030803000152;Anhanguera;350;0.0207612;2;5.714285714285714;1.9042374526547454;0.7637795275590551;0.0;0.3333333333333333;0.09254412163996742;8.773657005490458;16858.37042174826
355030803000163;Anhanguera;750;0.045141;4;5.333333333333333;1.8458266904983307;0.7012820512820513;0.24807692307692308;0.3257224257224257;0.13643401327107396;8.16821710648941;16614.607562969362
355030803000164;Anhanguera;522;0.0341785;4;7.662835249042145;2.1590420649552766;0.7027777777777778;0.09722222222222222;0.3314814814814815;0.09434494195688226;7.915242285599915;15272.759190719311
355030803000168;Anhanguera;593;0.0209775;2;3.372681281618887;1.4753763865409388;0.5477346278317152;0.0024271844660194173;0.45145631067961167;0.19510382310586705;8.868469589393172;28268.38279108569
355030803000197;Anhanguera;711;0.0236482;2;2.8129395218002813;1.3384004196954247;0.7654061624649859;0.0;0.3319327731092437;0.09633307868601985;7.663863174097241;30065.713246674164
355030803000208;Anhanguera;408;0.0236646;9;22.058823529411764;3.1380484957342465;0.75;0.0;0.3238095238095238;0.07360248447204969;7.54813966491511;17240.942166780762
355030803000288;Anhanguera;777;0.1731378;15;19.305019305019304;3.010868111889806;;;;;7.781810517817529;4487.7548403641495
355030803000299;Anhanguera;243;0.0492863;0;0.0;0.0;0.19620253164556964;0.0;0.012658227848101266;0.6729380413057962;7.536849154001715;4930.376189732238
355030804000018;Aricanduva;495;0.0262065;22;44.44444444444444;3.816490578706582;0.7495495495495496;0.0;0.3603603603603604;0.02616822429906542;7.650378103002608;18888.443706713984
355030804000024;Aricanduva;767;0.045935;12;15.645371577574968;2.8121321944530946;0.6296296296296297;0.0;0.3333333333333333;0.1969322377039419;8.090782242792608;16697.507347338633
355030804000032;Aricanduva;724;0.0499572;9;12.430939226519337;2.5975609430502975;0.7064102564102565;0.09807692307692308;0.38178027934125497;0.06009516256938938;7.92730993019125;14492.405499107235
